NM_PARTIDO;SG_PARTIDO;NR_PARTIDO
União Brasil;UNIÃO;44
Unidade Popular;UP;80
Partido da Mulher Brasileira;PMB;35
Rede Sustentabilidade;REDE;18
Partido Novo;NOVO;30
Solidariedade;SOLIDARIEDADE;77
Patriota;PATRIOTA;51
Partido Social Democrático;PSD;55
Partido Liberal;PL;22
Partido Socialismo e Liberdade;PSOL;50
Republicanos;REPUBLICANOS;10
Podemos;PODE;19
Democracia Cristã;DC;27
Partido da Causa Operária;PCO;29
Partido Comunista Brasileiro;PCB;21
Partido Socialista dos Trabalhadores Unificado;PSTU;16
Progressistas;PP;11
Partido Renovador Trabalhista Brasileiro;PRTB;28
Avante;AVANTE;70
Partido Verde;PV;43
Cidadania;CIDADANIA;23
Partido da Mobilização Nacional;PMN;33
Partido Social Cristão;PSC;20
Agir;AGIR;36
Partido da Social Democracia Brasileira;PSDB;45
Partido Comunista do Brasil;PCdoB;65
Partido Socialista Brasileiro;PSB;40
Partido dos Trabalhadores;PT;13
Partido Democrático Trabalhista;PDT;12
Partido Trabalhista Brasileiro;PTB;14
Movimento Democrático Brasileiro;MDB;15
